year,location_code,coal_metal_export_share,oil_exports_share,primary_exports_share_1,primary_exports_share_2,exp_to_gdp,res_rents
1989,IRL,0.0330320195424416,0.00321044423717748,0.303959229220459,0.309047080854124,,
1990,IRL,0.0258482523528745,0.00556318369078901,0.274441715957262,0.281828226324972,,
1991,IRL,0.0228058920548468,0.00488761086653479,0.271512240672231,0.278438039091801,,
1992,IRL,0.0183746728514349,0.00488435134338253,0.281278367550914,0.288036787349352,,
1993,IRL,0.01928677346253,0.0105596571519501,0.254548039594819,0.267099865651371,,
1994,IRL,0.0163473317739534,0.00368854079601617,0.242008542328856,0.246893707288816,,
1995,IRL,0.0146152274700353,0.00272423389518695,0.221157414322418,0.22521532017751,,
1996,IRL,0.0143742287488074,0.0030121581407658,0.18816661288008,0.192550050407783,,
1997,IRL,0.0128004921476446,0.00380850800478628,0.149850646147606,0.154537906193195,,
1998,IRL,0.0118463091880819,0.00215135449642553,0.134722448483899,0.137674004510033,,
1999,IRL,0.011074888063316,0.00211968651071577,0.11946881568727,0.122302647526936,,
2000,IRL,0.0119902507855111,0.0029834599434403,0.100320579061035,0.103847093140273,,
2001,IRL,0.0105245506974736,0.00234298731753397,0.0866117266612723,0.0896105711567035,,
2002,IRL,0.00706555865948366,0.00289335688145242,0.0804388980632949,0.0839404502353036,,
2003,IRL,0.00881027767790413,0.0024690325552582,0.0962331075554537,0.0993715219179659,,
2004,IRL,0.00816983629206158,0.00364613093587423,0.0937355975476611,0.0981684817943497,,
2005,IRL,0.00642936975831628,0.00374096490674647,0.0662076074543786,0.0704095391844939,148.277920031908,0.0434435290752032
2006,IRL,0.00950034973413762,0.00231760919845079,0.0726611124250292,0.0754651837844783,149.957458397069,0.384338520676661
2007,IRL,0.0088315886574165,0.00282470679746073,0.0682785314451263,0.0715311323355746,153.2939161693,0.3167246838442
2008,IRL,0.00717619644344816,0.00359020469393669,0.065715407438795,0.0698183075575569,159.635387747843,0.087300024853577
2009,IRL,0.00554163869375303,0.00261220415530745,0.0619773776221411,0.0653641055909416,173.001741948266,0.0612227561926482
2010,IRL,0.00745010494890843,0.00380965582952663,0.0647792666705498,0.0690056620232245,189.590170855381,0.132985238895544
2011,IRL,0.00793125234279179,0.00507480321392208,0.0653283317784532,0.0708625709731997,187.534730291933,0.118619782990268
2012,IRL,0.0074241830382894,0.00549486186319322,0.0649225544769811,0.0708503286350131,,
2013,IRL,0.00714309576865991,0.00274837839502616,0.0669028793872171,0.0701281299209305,,
2014,IRL,0.00694521222121593,0.00316537885689596,0.0667747801552167,0.0704628099585939,,
2015,IRL,0.00527993551154885,0.0022230677156181,0.0584167268039063,0.0612849853906929,,
2016,IRL,0.00437763508151194,0.00182569329777534,0.0536248079812851,0.056084152385823,,
1962,IRL,0.0160824884748085,0.0163758080591666,0.710633018267844,0.732097448556753,,
1963,IRL,0.0120545119122257,0.0109633121929753,0.684766305460464,0.700658772228416,,
1964,IRL,0.0177905120505384,0.00911356458434591,0.659254876112911,0.67203474379581,,
1965,IRL,0.0191877120818572,0.0120623108781086,0.615033385830675,0.630715196486237,,
1966,IRL,0.0357646842176007,0.00556486087272119,0.608309485536079,0.617378665622469,,
1967,IRL,0.0350947771768939,0.0240445974554979,0.575762656761262,0.602394706117226,,
1968,IRL,0.0390331648011801,0.0198340132053679,0.532277952578088,0.554901208973989,,
